etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_C.T.E.C_1;;AEM GESTIONI SRL;LINEA PIU' SPA;C.T.E.C.;LINEA PIU';26100 CREMONA CR;CREMONA;CR;45,1363564;9,9909166;NORD;CENTRALE DI COGENERAZIONE CON CICLO COMBINATO.;TERMICO;COMBINATO;SI;SI;NO;2;16
UP_ROCCAROSSA_1;;AERO ROSSA S.R.L.;ALPIQ ENERGIA ITALIA SPA;Rocca Rossa;ALPIQ;ROCCA ROSSA PA;ROCCA ROSSA;PA;38,0393691;13,4514127;SICI;Impianto eolico località Rocca Rossa;EOLICO;EOLICO;SI;SI;NO;0;84
UP_GIUNCHETTO_1;;AERO-CHETTO SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;GIUNCHETTO;GSE;94014 NICOSIA EN;NICOSIA;EN;37,6959257;14,3790635;SICI;IMPIANTO EOLICO 35 AEROGENERATORI VESTAS V52;EOLICO;EOLICO;SI;SI;NO;0;29,75
UP_FRNCOFONTE_1;;AERO-FONTE S.R.L.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;FRANCOFONTE;GSE;96015 FRANCOFONTE SR;FRANCOFONTE;SR;37,2276838;14,8773458;SICI;PARCO EOLOCO ;EOLICO;EOLICO;SI;SI;NO;0;72
UP_CADELBUE_3;;AGSM VERONA SPA;2V ENERGY;CA DEL BUE;2V;Loc. CÀ DEL BUE VR;Loc. CÀ DEL BUE;VR;45,3779009;11,0348528;NORD;TURBOGAS + CICLI OTTOTURBINA A VAPORE + FORNI QUOTA CIP6 ;TERMICO;MISTO;SI;SI;NO;0;38
UP_CGCNTRCTTA_1;;AGSM VERONA SPA;2V ENERGY;COGE. CENTRO CITTA';2V; VERONA VR;VERONA;VR;45,4263052;10,957512;NORD;COGENERAZIONE CON MOTORI A CICLO OTTO A GAS NATURALE PER TELERISCALDAMENTO URBANO;AUTOPRODUTTORE;Termico TRADIZIONALE;SI;SI;NO;0;11,25
UP_MPNTLCCSNI_1;;AGSM VERONA SPA;2V ENERGY;IMPIANTO EOLICO CASONI;2V;CASONI ROMAGNA RE;CASONI ROMAGNA;RE;44,9375947;10,7310271;NORD;IMPIANTO EOLICO CASONI ROMAGNA16 AEROGENERATORI DA 810 KW ;EOLICO;EOLICO;SI;SI;NO;0;12,8
UP_LBPOWERSPA_1;;ALBA POWER S.P.A.;EGEA COMMERCIALE SRL;ALBAPOWER SPA;ALBA POWER;12051 ALBA CN;ALBA;CN;44,6862125;7,9624221;NORD;CENTRALE COGENERATIVA POTENZIALITA` 49,95 MW;TERMICO;COMBINATO;SI;SI;NO;20;49,95
UP_LTMPPSANIA_1;;ALPIQ WIND ITALIA SRL;ALPIQ ENERGIA ITALIA SPA;EOLO TEMPIO PAUSANIA;ALPIQ;07029 TEMPIO PAUSANIA OT;TEMPIO PAUSANIA;OT;40,9010398;9,0966471;SICI;CAMPO EOLICO RAMACCA,CASTEL DI JUDICA,RADDUSATORRI DEPOTENZIATE A 1.5 MW (VALORE TARGA 1.67 MW) ;EOLICO;EOLICO;SI;SI;NO;0;70,5
UP_MPNTLCDMRN_1;;ALPIQ WIND ITALIA SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;IMPIANTO EOLICO DI MARINEO;GSE;90035 MARINEO PA;MARINEO;PA;37,9520151;13,4144258;SICI;IMPIANTO EOLICO DI MARINEO (26 TORRI DA 0,86 MWDI POTENZA CIASCUNA);EOLICO;EOLICO;SI;SI;NO;0;22,36
UP_LTGRDPWRSR_1;;ALTO GARDA POWER;AXPO ITALIA SPA;ALTO GARDA POWER SRL;AXPO;38066 RIVA DEL GARDA TN;RIVA DEL GARDA;TN;45,8877128;10,7845398;NORD;IMPIANTO COGENERAZIONE A CICLO COMBINATO A SERVIZIO DI CARTIERE DEL GARDA, RTN E TELERISCALDAMENTO.;TERMICO;COMBINATO;SI;SI;NO;30;55
UP_AMBIENTE_1;;AMBIENTE SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;AMBIENTE;GSE;50050 CERRETO GUIDI FI;CERRETO GUIDI;FI;43,760366;10,8655856;CNOR;IMPIANTO ALIMENTATO DA FONTI RINNOV.NON PROGRAMMABILI AI SENSI DELLA DELIBERA 237/04 (BIOMASSE);TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;2;14,5
UP_MPNTDPRSLZ_1;;AMSA AZIENDA MILANESE SERVIZI AMBIENTALI;A2A AMBIENTE SPA;IMPIANTO DI PRESELEZIONE E TERMOVALORIZZAZIONE SILLA2;A2A; MILANO MI;MILANO;MI;45,4923585;9,0688303;NORD;IMPIANTO DI TERMOVALORIZZAZIONE CHE UTILIZZA RIFIUTI SOLIDI URBANI;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;10;56
UP_NDRMDA45MW_1;;ANDROMEDA PV SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;ANDROMEDA 45 MW;GSE;01014 MONTALTO DI CASTRO VT;MONTALTO DI CASTRO;VT;42,3498588;11,6038204;CSUD;IMPIANTO DI PRODUZIONE FOTOVOLTAICO;SOLARE;SOLARE;SI;SI;NO;0;45
UP_URURI_1;;ANDROMEDA WIND S.R.L.;AXPO ITALIA SPA;URURI;AXPO;86049 URURI CB;URURI;CB;41,815608;14,9950853;SUD;PARCO EOLICO URURI;EOLICO;EOLICO;SI;SI;NO;0;26
UP_PRCLCRGLBT_1;;ANEMOS WIND S.R.L.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;PARCO EOLICO REGALBUTO;GSE;94017 REGALBUTO EN;REGALBUTO;EN;37,6519874;14,6352627;SICI;PARCO EOLICO REGALBUTO - ANEMOS WIND;EOLICO;EOLICO;SI;SI;NO;0;49,7
UP_PNRGIAIGCC_1;PIP;API ENERGIA SPA;API NOVA ENERGIA SRL;API ENERGIA IGCC;API NOVA;60015 FALCONARA MARITTIMA AN;FALCONARA MARITTIMA;AN;43,6262472;13,3786031;CNOR;UNITÀ DI PRODUZIONE DELL` IMPIANTO IGCC DI APIENERGIA DI FALCONARA MARITTIMA ( AN) ;TERMICO;COMBINATO;SI;SI;NO;4,5;297,5
UP_PPNERGYSRL_1;;APPIA ENERGY S.R.L.;AXPO ITALIA SPA;APPIA ENERGY S.R.L.;AXPO;74016 MASSAFRA TA;MASSAFRA;TA;40,5882704;17,1100027;SUD;CENTRALE TERMOELETTRICA ALIMNTATA A C.D.R.(COMBUSTIBILE DERIVATO DAI RIFIUTI;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;0;10,2
UP_TERMOUTIL_1;;APRICA SPA;A2A AMBIENTE SPA;TERMOUTILIZZATORE;A2A; BRESCIA BS;BRESCIA;BS;45,511618;10,2077793;NORD;IMPIANTO UTILIZZANTE SIA RIFIUTI SOLIDI URBANI CHE BIOMASSE ASSOCIATO A TELERISCALDAMENTO URBANO ;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;20;85
UP_ILPRIMO_1;;ASI CELLINO SAN MARCO FV S.R.L.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;IL PRIMO;GSE;72020 CELLINO SAN MARCO BR;CELLINO SAN MARCO;BR;40,5253001;17,9131963;SUD;UNITÀ DI PRODUZIONE SITA IN BRINDISI DI POTENZA NOMINALE PARI A 43 MW;SOLARE;SOLARE;SI;SI;NO;0;42
UP_LASCLAFANI_1;;ASJA AMBIENTE ITALIA S.P.A.;DUFERCO ENERGIA S.P.A.;ALIA SCLAFANI;DUFERCO;90020 SCLAFANI BAGNI PA;SCLAFANI BAGNI;PA;37,7840752;13,7877623;SICI;L`IMPIANTO È COSITUITO DA 30 AEROGENERATORI DI 850 KW. ;EOLICO;EOLICO;SI;SI;NO;0;25,5
UP_LMCARVOTTA_1;;ASJA AMBIENTE ITALIA S.P.A.;DUFERCO ENERGIA S.P.A.;LAMACARVOTTA;DUFERCO;74014 LATERZA TA;LATERZA;TA;40,6249441;16,798088;BRNN;L`impianto è costituito da nr. 5wtg di 2 MW ciascuno per una potenza nominale complessiva di 10 MW.;EOLICO;EOLICO;SI;SI;NO;0;9,8
UP_CNTRALETEL_11;;AZ.ENERG. SPA - ETSCHWERKE AG;AZIENDA ENERGETICA TRADING SRL;CENTRALE TEL;AET;TEL BZ;TEL;BZ;46,6766021;11,0815689;NORD;DESCRIZIONE ;IDRICO;FLUENTE;SI;SI;NO;0,2;27
UP_RIORIVA_1;;AZIENDA ELETTRICA CAMPO TURES SPA;SEL SPA;RIO RIVA;SEL;39032 CAMPO TURES BZ;CAMPO TURES;BZ;46,9148884;11,9472026;NORD;GENERATORI 1 E 2 ;IDRICO;FLUENTE;SI;SI;NO;0,5;18
UP_AEMTECNO_1;;A2A CALORE & SERVIZI SRL;A2A TRADING SRL;AEMTECNO;A2A; MILANO MI;MILANO;MI;45,5185233;9,2130594;NORD;UNITA` PRODUTTIVA COSTITUITA DA 2 TURBINE A GAS DA 4,6 MW E DA 3 MOTORI A GAS DA 3,2 MW;TERMICO;MISTO;SI;SI;NO;2;18,8
UP_CANAVESE_1;;A2A CALORE & SERVIZI SRL;A2A TRADING SRL;CANAVESE;A2A; MILANO MI;MILANO;MI;45,4651422;9,2245245;NORD;C.LE DI COGENERAZIONE CON 3 MOTORI ENDOTERMICI A GAS ASSERVITA AL SERVIZIO DI TELERISCALDAMENTO;TERMICO;MISTO;SI;SI;NO;0,5;15
UP_FAMAGOSTA_3;;A2A CALORE & SERVIZI SRL;A2A TRADING SRL;FAMAGOSTA;A2A; MILANO MI;MILANO;MI;45,4372464;9,1659444;NORD;UNITA PRODUTTIVA COSTITUITA DA 6 MOTORI A GAS IN COOGENERAZIONE DI POTENZA UNITARIA PARI A 3.2 MW;TERMICO;MISTO;SI;SI;NO;1,92;18,96
UP_LAMARMORA_1;;A2A CALORE & SERVIZI SRL;A2A TRADING SRL;LAMARMORA;A2A; BRESCIA BS;BRESCIA;BS;45,5184768;10,2128339;NORD;GRUPPO1 + GRUPPO2 + GRUPPO3. IMPIANTO DI COGENERAZIONE ASSOCIATO A RETE DI TELERISCALDAMENTO URBANO.;TERMICO;TRADIZIONALE;SI;SI;NO;48,9;116,7
UP_ALBI_1;;A2A SPA;EP PRODUZIONE SPA;ALBI;EP PRODUZIONE;88055 ALBI CZ;ALBI;CZ;39,0243567;16,5944402;SUD;Unità di Produzione n 1 dell`Impianto ALBI ;IDRICO;SERBATOIO;SOSPESA;NO;NO;10;36
UP_AEM-BRAUL_1;;A2A SPA;A2A TRADING SRL;BRAULIO;A2A;23038 VALDIDENTRO SO;VALDIDENTRO;SO;46,4894229;10,2857048;NORD;UNITÀ DI PRODUZIONE COSTITUITA DA TRE GRUPPI, DUE GEMMELLI DA 9 MW,E UNO DA 1 MW ;IDRICO;FLUENTE;SI;SI;NO;4;18,7
UP_CALUSIA_1;;A2A SPA;A2A TRADING SRL;CALUSIA;A2A;CALUSIA KR;CALUSIA;KR;39,1873394;16,8220405;SUD;Unità di Produzione n 1 dell`Impianto CALUSIA;IDRICO;BACINO;SI;SI;NO;2,5;48
UP_AEM-GROSI_1;;A2A SPA;A2A TRADING SRL;GROSIO;A2A;23033 GROSIO SO;GROSIO;SO;46,3013556;10,2667226;NORD;UNITÀ COSTITUITA DA 4 GRUPPI `UGUALI` ;IDRICO;BACINO;SOSPESA;NO;NO;30;428
UP_GROSOTTO_1;;A2A SPA;A2A TRADING SRL;GROSOTTO;A2A;23034 GROSOTTO SO;GROSOTTO;SO;46,281989;10,2547633;NORD;CENTRALE COMPOSTA DA UN GRUPPO IDROELETTRICO AD ACQUA FLUENTE ;IDRICO;FLUENTE;SI;SI;NO;0;10,7
UP_AEM-LOVER_1;;A2A SPA;A2A TRADING SRL;LOVERO;A2A;23030 LOVERO SO;LOVERO;SO;46,2330475;10,2260004;NORD;CENTRALE COSTITUITA DA 2 GRUPPI UGUALI ;IDRICO;FLUENTE;SI;SI;NO;5;49
UP_MAGISANO_1;;A2A SPA;EP PRODUZIONE SPA;MAGISANO;EP PRODUZIONE;88050 MAGISANO CZ;MAGISANO;CZ;39,013824;16,6256846;SUD;Unità di Produzione n 1 dell`Impianto MAGISANO ;IDRICO;SERBATOIO;SOSPESA;NO;NO;11;39
UP_MONFALCO_3;;A2A SPA;A2A TRADING SRL;MONFALCONE;A2A;34074 MONFALCONE GO;MONFALCONE;GO;45,8038622;13,5203717;NORD;Unità di Produzione n 3 dell`Impianto MONFALCO.T;TERMICO;TRADIZIONALE;NO;NO;NO;70,5;302
UP_MONFALCO_4;;A2A SPA;A2A TRADING SRL;MONFALCONE;A2A;34074 MONFALCONE GO;MONFALCONE;GO;45,8088622;13,5133717;NORD;Unità di Produzione n 4 dell`Impianto MONFALCO.T;TERMICO;TRADIZIONALE;NO;NO;NO;70,5;302
UP_AEM-PREMA_1;;A2A SPA;A2A TRADING SRL;PREMADIO;A2A;PREMADIO SO;PREMADIO;SO;46,4847916;10,3512434;NORD;COSTITUITA DA GR1, GR2 E GR3 ;IDRICO;SERBATOIO;SOSPESA;NO;NO;30;230
UP_SATRIANO_1;;A2A SPA;A2A TRADING SRL;SATRIANO 1S;A2A;88060 SATRIANO CZ;SATRIANO;CZ;38,6665723;16,4748622;SUD;Unità di Produzione n 1 dell`Impianto SATRIANO 1S ;IDRICO;FLUENTE;SI;SI;NO;0;24
UP_SATRIANO_2;;A2A SPA;A2A TRADING SRL;SATRIANO 2S;A2A;88060 SATRIANO CZ;SATRIANO;CZ;38,6715723;16,4678622;SUD;UNITÀ DI PRODUZIONE N 2 DELL`IMPIANTO SATRIANO 2S ;IDRICO;FLUENTE;SI;SI;NO;0;34
UP_AEM-STAZZ_1;;A2A SPA;A2A TRADING SRL;STAZZONA;A2A;22010 STAZZONA CO;STAZZONA;CO;46,1390526;9,2747714;NORD;CENTRALE IDRICA CON DUE GRUPPI UGUALI ;IDRICO;FLUENTE;SI;SI;NO;5;30
UP_PBRLLPARMA_1;;BARILLA G. E R. FRATELLI S.P.A.;FENICE SPA;U.P. BARILLA PARMA;FENICE; PARMA PR;PARMA;PR;44,7975091;10,2935248;NORD;CICLO COMBINATO TG + TV;TERMICO;COMBINATO;SI;SI;NO;0;35
UP_GOLTARA_1;;BAS POWER SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;GOLTARA;GSE; BERGAMO BG;BERGAMO;BG;45,6703377;9,6367243;NORD;IMPIANTO PRODUZIONE E.E. DA CDR ;TERMICO;TRADIZIONALE;SI;SI;NO;7;9
UP_GUARCINO_1;;BEG;AET ITALIA SPA;GUARCINO;AET;03016 GUARCINO FR;GUARCINO;FR;41,7980972;13,3089523;CSUD;IMPIANTO GESTITO IN RETE INTERNA UTENZA FOPRNITURA ENERGIA ENERGIA E CALORE;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;0;20,7
UP_CSSNSERENE_1;;BG ITALIA POWER SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;CASSINO SERENE;GSE;03043 CASSINO FR;CASSINO;FR;41,4844209;13,8096373;CSUD;UNITÀ DI PRODUZIONE N.1 DELL`IMPIANTO DI SERENE CASSINO ;TERMICO;COMBINATO;NO;NO;NO;43,785;103,7
UP_MELFI_SER_1;;BG ITALIA POWER SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;MELFI SERENE;GSE;85025 MELFI PZ;MELFI;PZ;40,9937355;15,6363773;SUD;Unità di Produzione n 1 dell`Impianto MELFI SERENE ;TERMICO;COMBINATO;NO;NO;NO;48,1;101,5
UP_SERENE_RI_1;;BG ITALIA POWER SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;RIVALTA;GSE;10040 RIVALTA DI TORINO TO;RIVALTA DI TORINO;TO;45,0327117;7,5170493;NORD;Unità di Produzione n 1 dell`Impianto SERENE RIV. ;TERMICO;COMBINATO;NO;NO;NO;43,65;52
UP_FIAT_SERE_1;;BG ITALIA POWER SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;SERENE SULM;GSE;67039 SULMONA AQ;SULMONA;AQ;42,0451339;13,9082207;CSUD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO SERENE SULM ;TERMICO;COMBINATO;NO;NO;NO;43,92;52
UP_TERMOLI_1;;BG ITALIA POWER SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;TERMOLI;GSE;86039 TERMOLI CB;TERMOLI;CB;41,9868193;14,9774042;SUD;UNITA` DI PRODUZIONE N 1 DELL`IMPIANTO DI SERENE TERMOLI ;TERMICO;COMBINATO;NO;NO;NO;43,785;105
UP_SRRDCRISTO_1;;BICCARI 2 ENERGIE RINNOVABILI SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;SERRA DI CRISTO;GSE;71032 BICCARI FG;BICCARI;FG;41,3972308;15,191827;FOGN;IMPIANTO EOLICO `SERRA DI CRISTO` - BICCARI II;EOLICO;EOLICO;SI;SI;NO;0;32
UP_ENERBIELL_1;;BIELLA POWER SRL;ALPIQ ENERGIA ITALIA SPA;ENERBIELLA;ALPIQ;13852 CERRETO CASTELLO BI;CERRETO CASTELLO;BI;45,5650991;8,1545039;NORD;CENTRALE ENERBIELLA;TERMICO;COMBINATO;NO;NO;NO;3;21,5
UP_BGNCHVASSO_1;;BIOGEN CHIVASSO;AET ITALIA SPA;Biogen Chivasso;AET;10034 CHIVASSO TO;CHIVASSO;TO;45,1950384;7,881952;NORD;Motore endotermico alimentato ad oli vegetali accoppiato a turboespansore (Turboden);TERMICO;MISTO;SI;SI;NO;12,05;16,6
UP_BLVNBMASSA_1;;BIOLEVANO S.R.L.;EDELWEISS ENERGIA SPA;BiOlevano biomassa;EDELWEISS;27020 OLEVANO DI LOMELLINA PV;OLEVANO DI LOMELLINA;PV;45,2131642;8,7146905;NORD;Impianto IAFR a cippato di legna con caldaia a griglia e turbina vapore da 20MWe;TERMICO;MISTO;SI;SI;NO;11;18
UP_CROTONE2_1;;BIOMASSE ITALIA S.P.A.;API NOVA ENERGIA SRL;CROTONE 2;API NOVA;88900 CROTONE KR;CROTONE;KR;39,0786429;17,0805538;SUD;CENTRALE ALIMENTATA A BIOMASSE VEGETALI ;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;1;12
UP_STRONGOLI_1;;BIOMASSE ITALIA S.P.A.;AXPO ITALIA SPA;STRONGOLI;AXPO;88816 STRONGOLI KR;STRONGOLI;KR;39,2652735;17,0493138;SUD;L`IMPIANTO ALIMENTATO A BIOMASSE VEGETALI ;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;3;43
UP_BPWRSRDGNA_1;;BIOPOWER SARDEGNA SRL;OTTANA ENERGIA SPA;BIOPOWER SARDEGNA;OTTANA ENERGIA;08020 OTTANA NU;OTTANA;NU;40,2330425;9,039385;SARD;L`UP È INTEGRATA NELLA RETE MT DELLA UP OTTANA ENERGIA;TERMICO;RINNOVABILE PROGRAMMABILE;SI;SI;NO;8;36
UP_NIC_1;;BLU ENERGY MILANO SRL;ELECTRADE SPA;NIC;ELECTRADE;20090 VIMODRONE MI;VIMODRONE;MI;45,5142078;9,2769888;NORD;UNITA` COMPOSTA DA 3 GENERATORI;TERMICO;MISTO;SI;SI;NO;1,3;10,95
UP_CNTRLSCCO1_7;;BOLZANO ENERGIA S.R.L.;AZIENDA ENERGETICA TRADING SRL;CENTRALE SACCO_1;AET;39045 FORTEZZA BZ;FORTEZZA;BZ;46,790156;11,6003176;NORD;L`impianto ha una potenza complessiva pari ha 12 MW;TERMICO;MISTO;SI;SI;NO;2;12
UP_BONORVA_1;;BONORVA WINDENERGY S.R.L.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;Bonorva;GSE;07012 BONORVA SS;BONORVA;SS;40,4181293;8,7641013;SARD;Bonorva;EOLICO;EOLICO;SI;SI;NO;0;74
UP_BRGSBOTINO_1;;BS SOLAR SRL;EDISON TRADING SPA;Borgo Sabotino;EDISON;BORGO SABOTINO LT;BORGO SABOTINO;LT;41,4188362;12,8342526;CSUD;Impianto fotovoltaico con moduli installati su supporti fissi a terra.;SOLARE;SOLARE;SI;SI;NO;0;11
UP_AVEZZANO_1;;BURGO GROUP SPA;BURGO ENERGIA SRL;AVEZZANO;BURGO;67051 AVEZZANO AQ;AVEZZANO;AQ;42,0331569;13,4178086;CSUD;CICLO COMBINATO GAS-VAPORE COGENERATIVO ASSERVITO A STABILIMENTO CARTARIO;AUTOPRODUTTORE;Termico COMBINATO;SI;SI;NO;0;50
UP_DUINO_1;TERNA;BURGO GROUP SPA;BURGO ENERGIA SRL;DUINO;BURGO;34011 DUINO-AURISINA TS;DUINO-AURISINA;TS;45,7734463;13,6425824;NORD;CENTRALE DI COGENERAZIONE A CICLO COMBINATO BRAYTON - RANKINE;AUTOPRODUTTORE;Termico COMBINATO;SI;SI;NO;0;60
UP_SORA_2;;BURGO GROUP SPA;BURGO ENERGIA SRL;SORA;BURGO;03039 SORA FR;SORA;FR;41,7188539;13,6130491;CSUD;CICLO COMBINATO GAS-VAPORE ASSERVITO ALLO STABILIMENTO CARTAIO.;TERMICO;COMBINATO;SI;SI;NO;0;42
UP_VERZUOLO_2;TERNA;BURGO GROUP SPA;BURGO ENERGIA SRL;VERZUOLO;BURGO;12039 VERZUOLO CN;VERZUOLO;CN;44,5938864;7,4831045;NORD;CICLO RANKINE IN CONTROPRESSIONE + CICLO COMBINATO + IMPINATO IDROELETTRICO;AUTOPRODUTTORE;Termico TRADIZIONALE;SI;SI;NO;0;140
UP_TOMBETTA_1;;C. CANALE IND. CAMUZZONI SCARL;AGSM ENERGIA SRL;TOMBETTA 2;AGSM; VERONA VR;VERONA;VR;45,4383842;10,9916215;NORD;UNITÀ DI PRODUZIONE DELLA CENTRALE DI TOMBETTA ;IDRICO;FLUENTE;NO;NO;NO;0,5;12
UP_CBTRVNNCT1_1;;CABOT ITALIANA SPA;AXPO ITALIA SPA;CABOT RAVENNA CTE1;AXPO; RAVENNA RA;RAVENNA;RA;44,4183598;12,2035294;NORD;IMPIANTO DI TERMOVALORIZZAZIONE GAS DI PROCESSO, TRAMITE PRODUZIONE DI ENERGIA ELETTRICA;TERMICO;TRADIZIONALE;SI;SI;NO;5;15
UP_MPNTFTVLTC_1;;CALABRIA SOLAR SRL;DUFENERGY TRADING SA;Impianto fotovoltaico ¿San Floro Girifalco¿ ;DUFENERGY;SAN FLORO GIRIFALCO CZ;SAN FLORO GIRIFALCO;CZ;38,8372998;16,5181168;ROSN;Impianto Fotovoltaico da 40MW;SOLARE;SOLARE;SI;SI;NO;0;23,8
UP_CALLARI_1;;CALLARI S.R.L.;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;CALLARI;GSE;92025 CASTELTERMINI AG;CASTELTERMINI;AG;37,5409639;13,6432083;SICI;IMPIANTO EOLICO COSTITUITO DA 18 AEROGENERATORI DA 2 MW ;EOLICO;EOLICO;SI;SI;NO;0,1;36
UP_PRCLCCMSDM_1;;CAMAS ENERGY SRL;DUFERCO ENERGIA S.P.A.;PARCO EOLICO CAMAS DI MAIDA;DUFERCO;88025 MAIDA CZ;MAIDA;CZ;38,8575558;16,3639054;SUD;PARCO EOLICO INSTALLATO COMPOSTO DA N.17 AEROGENERATORI DA 2 MW PER COMPLESSIVI 34 MW;EOLICO;EOLICO;SI;SI;NO;0;34
UP_SANSEVERI_1;;CAMPANA ENERGIE RINNOVABILI SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;CER CASTELFRANCO;GSE;82022 CASTELFRANCO IN MISCANO BN;CASTELFRANCO IN MISCANO;BN;41,2993991;15,0852503;CSUD;Unità di Produzione n 1 dell`Impianto SANSEVERINO ;EOLICO;EOLICO;SI;SI;NO;0;28,5
UP_SPRTIVENTO_1;;CARAPELLE 1 S.R.L.;EMMECIDUE SPA;Spartivento;EMMECIDUE;71041 CARAPELLE FG;CARAPELLE;FG;41,3646216;15,6905513;SUD;UPR composta da 9 aerogenartori della SINOVEL da 1,5MW;EOLICO;EOLICO;SI;SI;NO;0;13,5
UP_CNTRLADRIA_2;;CARTIERA DEL POLESINE SPA;EDELWEISS ENERGIA SPA;CENTRALE ADRIA;EDELWEISS;45011 ADRIA RO;ADRIA;RO;45,0555487;12,0560381;NORD;CENTRALE TURBOGAS IN COGENERAZIONE;TERMICO;TURBOGAS;SI;SI;NO;1;14,78
UP_CADAVID_1;;CARTIERA DI CADIDAVID SRL;CARTIERA DI CADIDAVID SRL;CA'DAVID;CARTIERA; VERONA VR;VERONA;VR;45,4433842;10,9846215;NORD;IMPIANTO DI COGENERAZIONE E TURBINA A VAPORE DI CODA PER AUTOPRODUZIONE ;TERMICO;TURBOGAS;NO;NO;NO;2,55;30
UP_MONTALTO24_1;;CASSIOPEA PV SRL;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;MONTALTO24;GSE;01014 MONTALTO DI CASTRO VT;MONTALTO DI CASTRO;VT;42,3548588;11,5948204;CSUD;IMPIANTO FOTOVOLTAICO DA 24 MWP, TECNOLOGIA SUNPOWER, MODULI DA 305W E INSEGUITORE T0. INVERTER SMA.;SOLARE;SOLARE;SI;SI;NO;0;23,5
UP_CET_1;;CENTRO ENERGIA TEVEROLA SPA;GESTORE DEI SERVIZI ENERGETICI - GSE SPA;CET;GSE;81030 TEVEROLA CE;TEVEROLA;CE;40,992217;14,2075417;CSUD;.;TERMICO;COMBINATO;NO;NO;NO;70;150
UP_TOPPA_1;;CER ENERGIE RINNOVABILI;AXPO ITALIA SPA;TOPPA;AXPO;83044 BISACCIA AV;BISACCIA;AV;41,0153354;15,3758878;CSUD;CER1 No. 18 WTG + SSE per potenza installata totale 54 MW;EOLICO;EOLICO;SI;SI;NO;0;54
UP_TOPPA_2;;CER ENERGIE RINNOVABILI;AXPO ITALIA SPA;TOPPA;AXPO;83044 BISACCIA AV;BISACCIA;AV;41,0203354;15,3688878;CSUD;CER No. 4 WTG localizzate nel parco regionale per potenza installata totale 12 MW;EOLICO;EOLICO;SI;SI;NO;0;12
UP_CACCAMO_1;;C.E.S.I. CESA EOLO SICILIA SRL;AXPO ITALIA SPA;CACCAMO;AXPO;90012 CACCAMO PA;CACCAMO;PA;37,9313776;13,6652138;SICI;UP CACCAMO;EOLICO;EOLICO;SI;SI;NO;0;14,45
UP_SND_BOFFA_1;;COFELY ITALIA S.P.A.;YOUTRADE SPA;BOFFALORA;YOUTRADE;20010 BOFFALORA SOPRA TICINO MI;BOFFALORA SOPRA TICINO;MI;45,469146;8,8317001;NORD;Unità di Produzione n 1 dell`Impianto SND BOFFALORA;TERMICO;COMBINATO;SI;SI;NO;63,7;88
UP_CASTELMAS_1;;COFELY ITALIA S.P.A.;AXPO ITALIA SPA;CASTELMASSA;AXPO;45035 CASTELMASSA RO;CASTELMASSA;RO;45,022199;11,3114098;NORD;CTE CASTELMASSA;TERMICO;COMBINATO;SI;SI;NO;27,2;54
UP_NRAMONTORO_3;;COFELY ITALIA S.P.A.;COFELY ITALIA S.P.A.;NERA MONTORO;COFELY ITALIA;NERA MONTORO TR;NERA MONTORO;TR;42,4959091;12,4668979;CNOR;UP NERA MONTORO;TERMICO;COMBINATO;SI;SI;NO;47,5;56
UP_PMGLNDARCO_1;;COFELY ITALIA S.P.A.;COFELY ITALIA S.P.A.;POMIGLIANO D'ARCO;COFELY ITALIA;80038 POMIGLIANO D'ARCO NA;POMIGLIANO D'ARCO;NA;40,9101303;14,3829123;CSUD;UP POMIGLIANO;TERMICO;COMBINATO;SI;SI;NO;47,5;105
