etso;nm_source;proprietario;operatore;impianto;company;localita_estesa;localita;provincia;latitudine;longitudine;zona;descrizione;tipo;sottotipo;mgp;mi;msd;pmin;pmax
UP_OSTIGLIA_3;;EP PRODUZIONE;EP PRODUZIONE SPA;OSTIGLIA;EP PRODUZIONE;46035 OSTIGLIA MN;OSTIGLIA;MN;45,0729071;11,1129101;NORD;GRUPPO 3  CCGT;TERMICO;COMBINATO;SI;SI;SI;174;385
UP_TAVAZZANO_C_6;TERNA;EP PRODUZIONE;EP PRODUZIONE SPA;TAVAZZANO;EP PRODUZIONE;26838 TAVAZZANO CON VILLAVESCO LO;TAVAZZANO CON VILLAVESCO;LO;45,3277218;9,4054364;NORD;UNITÀ DI PRODUZIONE N. 2 DELLA CENTRALE DI TAVAZZANO.;TERMICO;COMBINATO;SI;SI;SI;179;385
UP_TAVAZZANO_5;EP;EP PRODUZIONE;EP PRODUZIONE SPA;TAVAZZANO;EP PRODUZIONE;26838 TAVAZZANO CON VILLAVESCO LO;TAVAZZANO CON VILLAVESCO;LO;45,3327218;9,3984364;NORD;UNITÀ DI PRODUZIONE N.1 DELLA CENTRALE DI TAVAZZANO;TERMICO;COMBINATO;SI;SI;SI;179;765
UP_TAVAZZANO_8;;EP PRODUZIONE;EP PRODUZIONE SPA;TAVAZZANO;EP PRODUZIONE;26838 TAVAZZANO CON VILLAVESCO LO;TAVAZZANO CON VILLAVESCO;LO;45,3377218;9,3914364;NORD;Unità di Produzione n 4 dell`Impianto TAVAZZANO;TERMICO;TRADIZIONALE;SI;SI;SI;60;300
UP_TRAPANI_C_1;EP;EP PRODUZIONE;EP PRODUZIONE SPA;TRAPANI C.LE;EP PRODUZIONE;91100 TRAPANI TP;TRAPANI;TP;38,0326177;12,546202;SICI;Unità di Produzione n 1 dell`Impianto TRAPANI C.LE;TERMICO;TURBOGAS;SI;SI;SI;75;106
UP_TRAPANI_C_2;TERNA;EP PRODUZIONE;EP PRODUZIONE SPA;TRAPANI C.LE;EP PRODUZIONE;91100 TRAPANI TP;TRAPANI;TP;38,0376177;12,553202;SICI;Unità di Produzione n 2 dell`Impianto TRAPANI C.LE;TERMICO;TURBOGAS;SI;SI;SI;70;106
UP_CTNUCENORD_1;ERG;ERG POWER SRL;ERG POWER GENERATION S.P.A.;CTE NUCE NORD;ERG;96010 PRIOLO GARGALLO SR;PRIOLO GARGALLO;SR;37,1828584;15,1487006;SICI;CCGT+SA1N1+SA1N3;TERMICO;COMBINATO;SI;SI;SI;153,634;409,596
UP_CNTRLDSCND_1;PIP;ERGOSUD S.P.A.;ERGOSUD S.P.A.;CENTRALE DI SCANDALE;ERGOSUD;88831 SCANDALE KR;SCANDALE;KR;39,123897;16,9588336;ROSN;UNITÀ DI PRODUZIONE N  1 CCGT;TERMICO;COMBINATO;SI;SI;SI;248;410
UP_CNTRLDSCND_2;PIP;ERGOSUD S.P.A.;ERGOSUD S.P.A.;CENTRALE DI SCANDALE;ERGOSUD;88831 SCANDALE KR;SCANDALE;KR;39,128897;16,9518336;ROSN;UNITÀ DI PRODUZIONE N 2 CCGT;TERMICO;COMBINATO;SI;SI;SI;248;416
UP_LEINI_1;TERNA;GDF SUEZ PRODUZIONE;GDF SUEZ ENERGIA ITALIA S.P.A.;LEINI;GDF;10040 LEINI TO;LEINI;TO;45,1835252;7,7137308;NORD;IMPIANTO A CICLO COMBINATO;TERMICO;COMBINATO;SI;SI;SI;202;379,5
UP_BOAZZO_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;BOAZZO;ENEL;38080 DAONE TN;DAONE;TN;46,0018781;10,517251;NORD;Unità di Produzione n 1 dell`Impianto BOAZZO;IDRICO;SERBATOIO;SI;SI;SI;5;95
UP_CIMEGO_1;PIP;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;CIMEGO;ENEL;38082 CIMEGO TN;CIMEGO;TN;45,9167544;10,6064314;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO CIMEGO;IDRICO;SERBATOIO;SI;SI;SI;11;220
UP_RIVADEL_3;PIP;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;RIVA DEL GARDA - NUOVO;ENEL;38066 RIVA DEL GARDA TN;RIVA DEL GARDA;TN;45,9027128;10,7635398;NORD;UNITA` DI PRODUZIONE DI GR1 E GR2 DI RIVA DEL GARDA;POMPAGGIO;SERBATOIO;SI;SI;SI;-51;117
UP_S.MASS.CL_1;PIP;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;S.MASSENZA 1 (Molveno);ENEL;38070 SANTA MASSENZA TN;SANTA MASSENZA;TN;46,0683709;10,9817449;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO S.MASS.CLE;POMPAGGIO;ASTA;SI;SI;SI;-57;377
UP_VAL_NOANA_1;;HYDRO DOLOMITI ENEL SRL;ENEL PRODUZIONE SPA;VAL NOANA;ENEL;38050 IMER TN;IMER;TN;46,1535786;11,7797205;NORD;UNITÀ DI PRODUZIONE N 1 DELL`IMPIANTO VAL NOANA;IDRICO;SERBATOIO;SI;SI;SI;45;55
UP_BRUNICO_M_1;;HYDROS SRL;EDISON TRADING SPA;BRUNICO;EDISON;39031 BRUNICO BZ;BRUNICO;BZ;46,7965736;11,9380416;NORD;IDRO BRUNICO EDISON;IDRICO;SERBATOIO;SI;SI;SI;11;40,1
UP_CURON_ME_1;;HYDROS SRL;EDISON TRADING SPA;CURON;EDISON;39027 CURON VENOSTA BZ;CURON VENOSTA;BZ;46,8081108;10,5407426;NORD;IDRO CURON EDISON;IDRICO;BACINO;SI;SI;SI;4;13,5
UP_LASA_ME_1;;HYDROS SRL;EDISON TRADING SPA;LASA;EDISON;39023 LASA BZ;LASA;BZ;46,6198875;10,6947782;NORD;IDRO LASA EDISON;IDRICO;SERBATOIO;SI;SI;SI;15;64
UP_MONCALIERI_3;PIP;IREN ENERGIA SPA;IREN MERCATO SPA;MONCALIERI;IREN;10024 MONCALIERI TO;MONCALIERI;TO;45,0033525;7,6732878;NORD;3 GT CICLO COMBINATO BIALBERO TG-TV PRODUZ_COMBIN_ ENERGIA ELETTRICA E CALORE PER TELERISCALDAMENTO;TERMICO;COMBINATO;SI;SI;SI;210;380
UP_MONCALRPW_2;PIP;IREN ENERGIA SPA;IREN MERCATO SPA;MONCALIERI;IREN;10024 MONCALIERI TO;MONCALIERI;TO;45,0083525;7,6642878;NORD;COMBINATO BIALBERO TG-TV PRODUZIONE ENERGIA ELETTRICA-CALORE PER RETE TELERISCALDAMENTO;TERMICO;COMBINATO;SI;SI;SI;215;400
UP_PNTVENTOUX_3;;IREN ENERGIA SPA;IREN MERCATO SPA;PONT VENTOUX;IREN;10050 GIAGLIONE TO;GIAGLIONE;TO;45,1415075;7,0152399;NORD;UP COSTITUITA DAL GRUPPO 2 TURBINA - POMPA;POMPAGGIO;BACINO;SI;SI;SI;-80;75
UP_ROSONE_1;PIP;IREN ENERGIA SPA;IREN MERCATO SPA;ROSONE;IREN;10080 ROSONE TO;ROSONE;TO;45,4307948;7,4338601;NORD;UNITÀ DI PRODUZIONE ROSONE;IDRICO;SERBATOIO;SI;SI;SI;0;135
UP_TELESSIO_1;;IREN ENERGIA SPA;IREN MERCATO SPA;TELESSIO;IREN;10080 LOCANA TO;LOCANA;TO;45,4164026;7,4654179;NORD;UNITÀ DI PRODUZIONE TELESSIO;POMPAGGIO;SERBATOIO;SI;SI;SI;-35;35
UP_TORINONORD_1;PIP;IREN ENERGIA SPA;IREN MERCATO SPA;TORINO NORD;IREN; TORINO TO;TORINO;TO;45,1041373;7,614958;NORD;Ciclo combinato cogenerativo Torino NORD;TERMICO;COMBINATO;SI;SI;SI;180;395
UP_VILLA_1;;IREN ENERGIA SPA;IREN MERCATO SPA;VILLA;IREN;10080 VILLA TO;VILLA;TO;45,4412889;7,2097949;NORD;UNITÀ DI PRODUZIONE VILLA;IDRICO;SERBATOIO;SI;SI;SI;0;40
UP_STTNNRGSRL_1;;OTTANA ENERGIA SPA;OTTANA ENERGIA SPA;AES OTTANA ENERGIA S.R.L;OTTANA;08020 OTTANA NU;OTTANA;NU;40,2430425;9,025385;SARD;L`UP,INTEGRATA IN UNO STABILIMENTO CHIMICO, E` FUNZIONALMENTE CONNESSA AD UN CICLO PRODUTTIVO.;TERMICO;MISTO;SI;SI;SI;1;80
UP_CAORIA_1;;PRIMIERO ENERGIA SPA;TRENTA SPA;CAORIA;TRENTA;38050 CANAL SAN BOVO TN;CANAL SAN BOVO;TN;46,1561291;11,7315041;NORD;Unità di Produzione n 1 dell`Impianto CAORIA;IDRICO;SERBATOIO;SI;SI;SI;0,5;39,5
UP_MOLINE_1;;PRIMIERO ENERGIA SPA;TRENTA SPA;MOLINE;TRENTA;32030 SOVRAMONTE BL;SOVRAMONTE;BL;46,0562524;11,7767459;NORD;Unità di Produzione n 1 dell`Impianto MOLINE;IDRICO;SERBATOIO;SI;SI;SI;0,5;19
UP_RIZZICONI_1;PIP;RIZZICONI ENERGIA SPA;AXPO ITALIA SPA;RIZZICONI;AXPO;89016 RIZZICONI RC;RIZZICONI;RC;38,4139144;15,9592635;ROSN;CENTRALE RIZZICONI ENERGIA SPA, UNITA` 1;TERMICO;COMBINATO;SI;SI;SI;200;384,2
UP_RIZZICONI_2;PIP;RIZZICONI ENERGIA SPA;AXPO ITALIA SPA;RIZZICONI;AXPO;89016 RIZZICONI RC;RIZZICONI;RC;38,4059144;15,9592635;ROSN;CENTRALE RIZZICONI ENERGIA SPA, UNITA` 2;TERMICO;COMBINATO;SI;SI;SI;200;384,2
UP_ROSELECTRA_1;TERNA;ROSELECTRA S.P.A.;GDF SUEZ ENERGIA ITALIA S.P.A.;ROSELECTRA;GDF;57016 ROSIGNANO SOLVAY LI;ROSIGNANO SOLVAY;LI;43,3918054;10,4424658;CNOR;IMPIANTO A CICLO COMBINATO `SINGLE SHAFT PACKAGE`;TERMICO;COMBINATO;SI;SI;SI;206;380
